date,discharge_cfs
2010-01-01,22100
2010-01-02,19200
2010-01-03,16100
2010-01-04,14600
2010-01-05,13400
2010-01-06,12300
2010-01-07,10800
2010-01-08,10400
2010-01-09,9030
2010-01-10,9090
2010-01-11,8290
2010-01-12,7730
2010-01-13,6980
2010-01-14,7070
2010-01-15,6770
2010-01-16,6760
2010-01-17,7240
2010-01-18,10400
2010-01-19,21800
2010-01-20,34800
2010-01-21,30500
2010-01-22,26200
2010-01-23,24000
2010-01-24,22800
2010-01-25,28800
2010-01-26,103000
2010-01-27,147000
2010-01-28,82400
2010-01-29,50600
2010-01-30,37100
2010-01-31,28600
2010-02-01,23300
2010-02-02,20500
2010-02-03,19000
2010-02-04,17700
2010-02-05,16300
2010-02-06,15900
2010-02-07,14600
2010-02-08,13400
2010-02-09,12800
2010-02-10,12700
2010-02-11,11900
2010-02-12,12500
2010-02-13,11500
2010-02-14,11300
2010-02-15,11000
2010-02-16,10800
2010-02-17,10300
2010-02-18,10200
2010-02-19,10600
2010-02-20,11100
2010-02-21,11900
2010-02-22,12800
2010-02-23,14500
2010-02-24,18400
2010-02-25,23000
2010-02-26,26900
2010-02-27,26600
2010-02-28,23500
2010-03-01,21800
2010-03-02,22300
2010-03-03,23000
2010-03-04,24100
2010-03-05,24600
2010-03-06,24000
2010-03-07,23600
2010-03-08,23000
2010-03-09,23000
2010-03-10,24200
2010-03-11,26500
2010-03-12,33700
2010-03-13,83100
2010-03-14,167000
2010-03-15,192000
2010-03-16,131000
2010-03-17,76500
2010-03-18,57400
2010-03-19,46000
2010-03-20,37900
2010-03-21,31300
2010-03-22,28200
2010-03-23,26300
2010-03-24,25000
2010-03-25,25900
2010-03-26,23600
2010-03-27,21000
2010-03-28,19700
2010-03-29,25400
2010-03-30,56200
2010-03-31,57700
2010-04-01,41900
2010-04-02,32200
2010-04-03,26200
2010-04-04,22600
2010-04-05,19600
2010-04-06,17500
2010-04-07,15900
2010-04-08,14600
2010-04-09,14100
2010-04-10,13100
2010-04-11,12300
2010-04-12,11500
2010-04-13,10900
2010-04-14,10500
2010-04-15,9800
2010-04-16,9270
2010-04-17,8910
2010-04-18,9040
2010-04-19,8360
2010-04-20,8090
2010-04-21,7860
2010-04-22,7850
2010-04-23,7550
2010-04-24,7170
2010-04-25,7050
2010-04-26,9140
2010-04-27,11100
2010-04-28,12000
2010-04-29,11700
2010-04-30,9750
2010-05-01,8410
2010-05-02,7780
2010-05-03,7680
2010-05-04,7880
2010-05-05,12500
2010-05-06,12300
2010-05-07,10000
2010-05-08,8670
2010-05-09,7490
2010-05-10,6710
2010-05-11,6180
2010-05-12,6260
2010-05-13,6680
2010-05-14,6660
2010-05-15,6920
2010-05-16,6530
2010-05-17,6310
2010-05-18,6530
2010-05-19,6390
2010-05-20,8210
2010-05-21,10400
2010-05-22,10200
2010-05-23,16800
2010-05-24,20700
2010-05-25,24500
2010-05-26,16000
2010-05-27,12700
2010-05-28,11500
2010-05-29,10400
2010-05-30,9080
2010-05-31,9570
2010-06-01,10400
2010-06-02,9070
2010-06-03,7590
2010-06-04,7150
2010-06-05,6950
2010-06-06,6240
2010-06-07,6210
2010-06-08,6730
2010-06-09,6180
2010-06-10,7010
2010-06-11,6770
2010-06-12,5820
2010-06-13,5250
2010-06-14,5060
2010-06-15,4820
2010-06-16,4670
2010-06-17,4340
2010-06-18,3980
2010-06-19,3630
2010-06-20,3460
2010-06-21,3330
2010-06-22,3060
2010-06-23,2820
2010-06-24,2650
2010-06-25,2450
2010-06-26,2340
2010-06-27,2110
2010-06-28,2420
2010-06-29,2730
2010-06-30,2110
2010-07-01,1980
2010-07-02,1820
2010-07-03,1820
2010-07-04,1770
2010-07-05,1600
2010-07-06,1520
2010-07-07,1380
2010-07-08,1330
2010-07-09,1370
2010-07-10,1720
2010-07-11,1920
2010-07-12,1790
2010-07-13,2850
2010-07-14,3670
2010-07-15,2790
2010-07-16,2400
2010-07-17,2970
2010-07-18,3140
2010-07-19,3170
2010-07-20,2570
2010-07-21,2070
2010-07-22,1650
2010-07-23,1530
2010-07-24,1390
2010-07-25,1480
2010-07-26,1690
2010-07-27,1390
2010-07-28,1310
2010-07-29,1390
2010-07-30,1630
2010-07-31,1340
2010-08-01,1230
2010-08-02,1120
2010-08-03,1000
2010-08-04,1170
2010-08-05,1490
2010-08-06,1770
2010-08-07,1440
2010-08-08,1420
2010-08-09,1330
2010-08-10,1080
2010-08-11,1190
2010-08-12,2120
2010-08-13,2670
2010-08-14,3690
2010-08-15,2990
2010-08-16,2330
2010-08-17,1770
2010-08-18,5360
2010-08-19,3170
2010-08-20,2130
